scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.136966943740845,True,26.205592191235336,0.3137270121716272,2025-10-20T17:25:20.920038
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.145946979522705,True,57.30684106466103,0.6350817732055144,2025-10-20T17:25:29.209542
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.149695634841919,True,78.03295241744974,0.5319419856501367,2025-10-20T17:25:37.494040
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.147389650344849,True,31.97410039914388,0.7389922585473476,2025-10-20T17:25:45.777307
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.166035413742065,False,244.12387677973007,0.5815032418176338,2025-10-20T17:25:54.086558
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.157841205596924,True,27.415216887396742,0.7289915262144004,2025-10-20T17:26:02.375865
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.148343324661255,False,125.695935279357,0.6905633718569063,2025-10-20T17:26:10.669644
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.1371071338653564,False,484.2735319360647,0.36157203873246885,2025-10-20T17:26:18.942641
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.140443801879883,True,17.92484169098495,0.38087874610242967,2025-10-20T17:26:27.234724
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.141235113143921,True,37.48551471551967,0.3693821466929376,2025-10-20T17:26:35.513202
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.168155908584595,True,10.566942263639135,0.6182620891358044,2025-10-20T17:26:43.813371
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.160480499267578,True,85.75669153977212,0.7600651144873246,2025-10-20T17:26:52.118478
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.130173444747925,True,11.583676908073972,0.5529579682948422,2025-10-20T17:27:00.385008
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.145737648010254,True,49.58741790216187,0.6813055480185177,2025-10-20T17:27:08.675946
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.132588148117065,True,31.218417894790637,0.6810804651364315,2025-10-20T17:27:16.944099
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.140046119689941,True,28.107556586517614,0.6513979400794632,2025-10-20T17:27:25.229089
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.140326499938965,True,74.69480903158636,0.38746404315507826,2025-10-20T17:27:33.494127
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.12397575378418,True,25.227100337908766,0.7775041037821468,2025-10-20T17:27:41.752920
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.136463642120361,False,405.92693469252106,0.5719773795199099,2025-10-20T17:27:50.043676
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.1364264488220215,True,95.90544983028968,0.44880645108486183,2025-10-20T17:27:58.328638
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.156079053878784,False,303.33134711778905,0.4761992408844906,2025-10-20T17:28:06.609533
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.130724906921387,False,110.1558934215554,0.617609028945212,2025-10-20T17:28:14.889473
